clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	LowReadDepth	Notes
March20_2018_D8_29	5	106	13	19	S	D8	2018	6	0	1	female	pulex		
March20_2018_D8_35	5	106	13	19	S	D8	2018	7	0	1	female	pulex		
March20_2018_D8_7	5	106	13	19	S	D8	2018	17	0	1	female	pulex		
March20_2018_D8_9	5	106	13	19	S	D8	2018	19	0	1	female	pulex		
April17_2018_D8_Male2	4	3	14	20	T	D8	2018	11	0	1	male	pulex		
March20_2018_D8_12	4	3	14	20	T	D8	2018	19	0	1	female	pulex		
March20_2018_D8_22	4	3	14	20	T	D8	2018	14	0	1	female	pulex		
March20_2018_D8_31	4	3	14	20	T	D8	2018	10	0	1	female	pulex		
April29_2018_D8_MomPE3	4	8	14	21	U	D8	2018	9	0	1	female	pulex		
April29_2018_D8_MomPE5	4	8	14	21	U	D8	2018	8	0	1	female	pulex		
April29_2018_DBunk_Male3	4	8	14	21	U	DBunk	2018	8	0	1	male	pulex		
March20_2018_D8_17	4	8	14	21	U	D8	2018	14	0	1	female	pulex		
April_2017_DLily_1	4	60	14	22	V	DLily	2017	16	0	0	female	pulex		
April_2017_Dramp_10	4	60	14	22	V	Dramp	2017	22	0	0	female	pulex		
April_2017_Dramp_14	4	60	14	22	V	Dramp	2017	17	0	0	female	pulex		
April_2017_Dramp_6	4	60	14	22	V	Dramp	2017	18	0	0	female	pulex		
Spring_2016_D8_8.16	2	145	16	23	W	D8	2016	14	0	0	female	pulex		
Spring_2016_D8_8.20	2	145	16	23	W	D8	2016	13	0	0	female	pulex		
April17_2018_D8_Male3	3	4	15	24	X	D8	2018	8	0	1	male	pulex		
March20_2018_D8_30	3	4	15	24	X	D8	2018	17	0	1	female	pulex		
March20_2018_D8_36	3	4	15	24	X	D8	2018	10	0	1	female	pulex		
April_2017_DBunk_21	3	44	15	25	Y	DBunk	2017	15	0	0	female	pulex		
April_2017_DBunk_233	3	44	15	25	Y	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_317	3	44	15	25	Y	DBunk	2017	8	0	0	female	pulex		
March15_2019_DBunk_MomPE13	3	95	15	26	Z	DBunk	2019	11	0	1	female	pulex		
March15_2019_DBunk_MomPE17	3	95	15	26	Z	DBunk	2019	13	0	1	female	pulex		
March15_2019_DBunk_MomPE9	3	95	15	26	Z	DBunk	2019	17	0	1	female	pulex		
March15_2019_DBunk_MomPE15	3	97	15	27	AA	DBunk	2019	10	0	1	female	pulex		
March15_2019_DBunk_MomPE19	3	97	15	27	AA	DBunk	2019	8	0	1	female	pulex		
March15_2019_DBunk_MomPE5	3	97	15	27	AA	DBunk	2019	8	0	1	female	pulex		
April17_2018_D8_Male4	2	5	16	28	AB	D8	2018	8	0	1	male	pulex		
April29_2018_D8_MomPE2	2	5	16	28	AB	D8	2018	8	0	1	female	pulex		
April29_2018_DBunk_MomPE4	2	15	16	29	AC	DBunk	2018	6	0	1	female	pulex		
March20_2018_D8_18	2	15	16	29	AC	D8	2018	11	0	1	female	pulex		
April_2017_DBunk_119	2	27	16	30	AD	DBunk	2017	12	0	0	female	pulex		
May_2017_DBunk_515	2	27	16	30	AD	DBunk	2017	12	0	0	female	pulex		
April_2017_DBunk_248	2	47	16	31	AE	DBunk	2017	20	0	0	female	pulex		
April_2017_DBunk_268	2	47	16	31	AE	DBunk	2017	10	0	0	female	pulex		
Fall_2016_D10_45	2	71	16	32	AF	D10	2016	16	0	0	female	pulex		
Fall_2016_D10_84	2	71	16	32	AF	D10	2016	21	0	0	female	pulex		
March15_2019_D8_MomPE12	2	76	16	33	AG	D8	2019	10	0	1	female	pulex		
March15_2019_D8_MomPE13	2	76	16	33	AG	D8	2019	13	0	1	female	pulex		
March15_2019_D8_MomPE15	2	78	16	34	AH	D8	2019	4	0	1	female	pulex		
March15_2019_D8_MomPE18	2	78	16	34	AH	D8	2019	1	0	1	female	pulex	1	
March15_2019_DBunk_MomPE10	2	92	16	35	AI	DBunk	2019	15	0	1	female	pulex		
March15_2019_DBunk_MomPE3	2	92	16	35	AI	DBunk	2019	15	0	1	female	pulex		
March15_2019_DBunk_MomPE12	2	94	16	36	AJ	DBunk	2019	12	0	1	female	pulex		
March15_2019_DBunk_MomPE2	2	94	16	36	AJ	DBunk	2019	15	0	1	female	pulex		
March20_2018_D8_16	2	108	16	37	AK	D8	2018	5	0	1	female	pulex		
March20_2018_D8_33	2	108	16	37	AK	D8	2018	16	0	1	female	pulex		
March20_2018_D8_23	2	110	16	38	AL	D8	2018	9	0	1	female	pulex		
March20_2018_D8_3	2	110	16	38	AL	D8	2018	5	0	1	female	pulex		
March20_2018_D8_38	2	115	16	39	AM	D8	2018	20	0	1	female	pulex		
March20_2018_D8_8	2	115	16	39	AM	D8	2018	4	0	1	female	pulex		
March20_2018_DBunk_24	2	121	16	40	AN	DBunk	2018	37	0	1	female	pulex		
March20_2018_DBunk_25	2	121	16	40	AN	DBunk	2018	18	0	1	female	pulex		
May_2017_DBunk_557	2	138	16	41	AO	DBunk	2017	19	0	0	female	pulex		
Spring_2017_DBunk_198	2	138	16	41	AO	DBunk	2017	7	0	0	female	pulex		
Spring_2017_DBunk_222	2	158	16	42	AP	DBunk	2017	6	0	0	female	pulex		
Spring_2017_DBunk_73	2	158	16	42	AP	DBunk	2017	14	0	0	female	pulex		
Spring_2017_DBunk_363	2	166	16	43	AQ	DBunk	2017	11	0	0	female	pulex		
Spring_2017_DBunk_99	2	166	16	43	AQ	DBunk	2017	9	0	0	female	pulex		
April17_2018_D8_Male1	1	2	17	44	OO	D8	2018	10	0	1	male	pulex		
April29_2018_D8_MomPE1	1	7	17	45	OO	D8	2018	5	0	1	female	pulex		
April29_2018_D8_MomPE4	1	9	17	46	OO	D8	2018	9	0	1	female	pulex		
April29_2018_DBunk_Male1	1	10	17	47	OO	DBunk	2018	9	0	1	male	pulex		
April29_2018_DBunk_MomPE3	1	14	17	48	OO	DBunk	2018	8	0	1	female	pulex		
April_2017_D8_134	1	20	17	49	OO	D8	2017	19	0	0	female	pulex		
April_2017_D8_137	1	21	17	50	OO	D8	2017	16	0	0	female	pulex		
April_2017_DBunk_103	1	22	17	51	OO	DBunk	2017	13	0	0	female	pulex		
April_2017_DBunk_111	1	25	17	52	OO	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_121	1	28	17	53	OO	DBunk	2017	11	0	0	female	pulex		
April_2017_DBunk_128	1	29	17	54	OO	DBunk	2017	14	0	0	female	pulex		
April_2017_DBunk_129	1	30	17	55	OO	DBunk	2017	32	0	0	female	pulex		
April_2017_DBunk_13	1	31	17	56	OO	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_131	1	32	17	57	OO	DBunk	2017	16	0	0	female	pulex		
April_2017_DBunk_132	1	33	17	58	OO	DBunk	2017	24	0	0	female	pulex		
April_2017_DBunk_133	1	34	17	59	OO	DBunk	2017	8	0	0	female	pulex		
April_2017_DBunk_137	1	35	17	60	OO	DBunk	2017	21	0	0	female	pulex		
April_2017_DBunk_139	1	36	17	61	OO	DBunk	2017	31	0	0	female	pulex		
April_2017_DBunk_142	1	37	17	62	OO	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_152	1	39	17	63	OO	DBunk	2017	27	0	0	female	pulex		
April_2017_DBunk_160	1	40	17	64	OO	DBunk	2017	10	0	0	female	pulex		
April_2017_DBunk_185	1	42	17	65	OO	DBunk	2017	9	0	0	female	pulex		
April_2017_DBunk_203	1	43	17	66	OO	DBunk	2017	8	0	0	female	pulex		
April_2017_DBunk_213	1	45	17	67	OO	DBunk	2017	13	0	0	female	pulex		
April_2017_DBunk_232	1	46	17	68	OO	DBunk	2017	14	0	0	female	pulex		
April_2017_DBunk_254	1	48	17	69	OO	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_297	1	49	17	70	OO	DBunk	2017	16	0	0	female	pulex		
April_2017_DBunk_3	1	50	17	71	OO	DBunk	2017	18	0	0	female	pulex		
April_2017_DBunk_302	1	51	17	72	OO	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_36	1	52	17	73	OO	DBunk	2017	18	0	0	female	pulex		
April_2017_DBunk_5	1	53	17	74	OO	DBunk	2017	14	0	0	female	pulex		
April_2017_DBunk_63	1	54	17	75	OO	DBunk	2017	19	0	0	female	pulex		
April_2017_DBunk_76	1	55	17	76	OO	DBunk	2017	10	0	0	female	pulex		
April_2017_DBunk_9	1	56	17	77	OO	DBunk	2017	15	0	0	female	pulex		
April_2017_DBunk_91	1	57	17	78	OO	DBunk	2017	15	0	0	female	pulex		
April_2017_DCat_4	1	59	17	80	OO	DCat	2017	13	0	0	female	pulex		
April_2017_DOil_1	1	61	17	81	OO	DOil	2017	9	0	0	female	pulex		
April_2017_DOil_2	1	62	17	82	OO	DOil	2017	19	0	0	female	pulex		
April_2017_DOil_3	1	63	17	83	OO	DOil	2017	22	0	0	female	pulex		
April_2017_DOil_5	1	64	17	84	OO	DOil	2017	17	0	0	female	pulex		
April_2017_DOil_7	1	65	17	85	OO	DOil	2017	12	0	0	female	pulex		
April_2017_Dramp_17	1	67	17	86	OO	Dramp	2017	18	0	0	female	pulex		
April_2017_Dramp_9	1	68	17	87	OO	Dramp	2017	18	0	0	female	pulex		
December17_2018_D8_1	1	69	17	88	OO	D8	2018	5	0	1	female	pulex		
Fall_2016_D10_41	1	70	17	89	OO	D10	2016	25	0	0	female	pulex		
March15_2019_D8_MomPE1	1	73	17	90	OO	D8	2019	6	0	1	female	pulex		
March15_2019_D8_MomPE10	1	74	17	91	OO	D8	2019	2	0	1	female	pulex	1	
March15_2019_D8_MomPE11	1	75	17	92	OO	D8	2019	7	0	1	female	pulex		
March15_2019_D8_MomPE14	1	77	17	93	OO	D8	2019	11	0	1	female	pulex		
March15_2019_D8_MomPE16	1	79	17	94	OO	D8	2019	15	0	1	female	pulex		
March15_2019_D8_MomPE17	1	80	17	95	OO	D8	2019	12	0	1	female	pulex		
March15_2019_D8_MomPE19	1	81	17	96	OO	D8	2019	8	0	1	female	pulex		
March15_2019_D8_MomPE2	1	82	17	97	OO	D8	2019	13	0	1	female	pulex		
March15_2019_D8_MomPE20	1	83	17	98	OO	D8	2019	12	0	1	female	pulex		
March15_2019_D8_MomPE21	1	84	17	99	OO	D8	2019	11	0	1	female	pulex		
March15_2019_D8_MomPE3	1	85	17	100	OO	D8	2019	6	0	1	female	pulex		
March15_2019_D8_MomPE4	1	86	17	101	OO	D8	2019	16	0	1	female	pulex		
March15_2019_D8_MomPE5	1	87	17	102	OO	D8	2019	8	0	1	female	pulex		
March15_2019_D8_MomPE6	1	88	17	103	OO	D8	2019	14	0	1	female	pulex		
March15_2019_D8_MomPE7	1	89	17	104	OO	D8	2019	14	0	1	female	pulex		
March15_2019_D8_MomPE8	1	90	17	105	OO	D8	2019	9	0	1	female	pulex		
March15_2019_D8_MomPE9	1	91	17	106	OO	D8	2019	9	0	1	female	pulex		
March15_2019_DBunk_MomPE11	1	93	17	107	OO	DBunk	2019	13	0	1	female	pulex		
March15_2019_DBunk_MomPE14	1	96	17	108	OO	DBunk	2019	16	0	1	female	pulex		
March15_2019_DBunk_MomPE16	1	98	17	109	OO	DBunk	2019	15	0	1	female	pulex		
March15_2019_DBunk_MomPE18	1	99	17	110	OO	DBunk	2019	17	0	1	female	pulex		
March15_2019_DBunk_MomPE4	1	100	17	111	OO	DBunk	2019	14	0	1	female	pulex		
March15_2019_DBunk_MomPE6	1	101	17	112	OO	DBunk	2019	13	0	1	female	pulex		
March15_2019_DBunk_MomPE7	1	102	17	113	OO	DBunk	2019	11	0	1	female	pulex		
March15_2019_DBunk_MomPE8	1	103	17	114	OO	DBunk	2019	11	0	1	female	pulex		
March20_2018_D8_11	1	104	17	115	OO	D8	2018	21	0	1	female	pulex		
March20_2018_D8_13	1	105	17	116	OO	D8	2018	22	0	1	female	pulex		
March20_2018_D8_15	1	107	17	117	OO	D8	2018	12	0	1	female	pulex		
March20_2018_D8_21	1	109	17	118	OO	D8	2018	11	0	1	female	pulex		
March20_2018_D8_25	1	111	17	119	OO	D8	2018	10	0	1	female	pulex		
March20_2018_D8_26	1	112	17	120	OO	D8	2018	9	0	1	female	pulex		
March20_2018_D8_37	1	114	17	121	OO	D8	2018	9	0	1	female	pulex		
March20_2018_D8_39	1	116	17	122	OO	D8	2018	17	0	1	female	pulex		
March20_2018_D8_40	1	117	17	123	OO	D8	2018	7	0	1	female	pulex		
March20_2018_D8_41	1	118	17	124	OO	D8	2018	9	0	1	female	pulex		
March20_2018_D8_45	1	119	17	125	OO	D8	2018	7	0	1	female	pulex		
March20_2018_D8_5	1	120	17	126	OO	D8	2018	5	0	1	female	pulex		
March20_2018_DBunk_27	1	122	17	127	OO	DBunk	2018	22	0	1	female	pulex		
March20_2018_DBunk_3	1	123	17	128	OO	DBunk	2018	25	0	1	female	pulex		
March20_2018_DBunk_35	1	124	17	129	OO	DBunk	2018	18	0	1	female	pulex		
March20_2018_DBunk_6	1	125	17	130	OO	DBunk	2018	22	0	1	female	pulex		
March_2018_D8_18030	1	126	17	131	OO	D8	2018	10	0	0	female	pulex		
March_2018_DCat_18004	1	127	17	132	OO	DCat	2018	12	0	0	female	pulex		
May_2017_D8_538	1	128	17	133	OO	D8	2017	21	0	0	female	pulex		
May_2017_D8_544	1	129	17	134	OO	D8	2017	17	0	0	female	pulex		
May_2017_D8_731	1	130	17	135	OO	D8	2017	11	0	0	female	pulex		
May_2017_DBunk_509	1	131	17	136	OO	DBunk	2017	6	0	0	female	pulex		
May_2017_DBunk_514	1	132	17	137	OO	DBunk	2017	13	0	0	female	pulex		
May_2017_DBunk_523	1	133	17	138	OO	DBunk	2017	13	0	0	female	pulex		
May_2017_DBunk_525	1	134	17	139	OO	DBunk	2017	18	0	0	female	pulex		
May_2017_DBunk_547	1	135	17	140	OO	DBunk	2017	16	0	0	female	pulex		
May_2017_DBunk_549B	1	136	17	141	OO	DBunk	2017	15	0	0	female	pulex		
May_2017_DBunk_554	1	137	17	142	OO	DBunk	2017	15	0	0	female	pulex		
May_2017_DBunk_558	1	139	17	143	OO	DBunk	2017	12	0	0	female	pulex		
May_2017_DBunk_579	1	140	17	144	OO	DBunk	2017	19	0	0	female	pulex		
May_2017_DBunk_589	1	141	17	145	OO	DBunk	2017	30	0	0	female	pulex		
May_2017_DBunk_590	1	142	17	146	OO	DBunk	2017	16	0	0	female	pulex		
May_2017_DBunk_591	1	143	17	147	OO	DBunk	2017	11	0	0	female	pulex		
Spring_2016_D8_8.26	1	148	17	150	OO	D8	2016	19	0	0	female	pulex		
Spring_2016_W1_1.1	1	149	17	151	OO	W1	2016	27	0	0	female	pulex		
Spring_2016_W6_6.1	1	150	17	152	OO	W6	2016	9	0	0	female	pulex		
Spring_2016_W6_6.3	1	151	17	153	OO	W6	2016	24	0	0	female	pulex		
Spring_2017_D8_336	1	152	17	154	OO	D8	2017	20	0	0	female	pulex		
Spring_2017_DBunk_113	1	153	17	155	OO	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_122	1	154	17	156	OO	DBunk	2017	17	0	0	female	pulex		
Spring_2017_DBunk_125	1	155	17	157	OO	DBunk	2017	8	0	0	female	pulex		
Spring_2017_DBunk_143	1	156	17	158	OO	DBunk	2017	12	0	0	female	pulex		
Spring_2017_DBunk_217	1	157	17	159	OO	DBunk	2017	18	0	0	female	pulex		
Spring_2017_DBunk_242	1	159	17	160	OO	DBunk	2017	9	0	0	female	pulex		
Spring_2017_DBunk_252	1	160	17	161	OO	DBunk	2017	15	0	0	female	pulex		
Spring_2017_DBunk_260	1	161	17	162	OO	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_315	1	162	17	163	OO	DBunk	2017	7	0	0	female	pulex		
Spring_2017_DBunk_321	1	163	17	164	OO	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_353	1	164	17	165	OO	DBunk	2017	11	0	0	female	pulex		
Spring_2017_DBunk_360	1	165	17	166	OO	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_367	1	167	17	167	OO	DBunk	2017	19	0	0	female	pulex		
Spring_2017_DBunk_373	1	168	17	168	OO	DBunk	2017	17	0	0	female	pulex		
Spring_2017_DBunk_378	1	169	17	169	OO	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_387	1	170	17	170	OO	DBunk	2017	16	0	0	female	pulex		
Lab_2019_D8_349Male					A	D8	2017		1	0	female	pulex		
May_2017_D8_770SM					A	D8	2017		1	0	female	pulex		
Spring_2017_DBunk_73SM					AA	DBunk	2017		1	0	female	pulex		
April_2017_D8_515R					C	D8	2017		1	0	female	pulex		
Lab_2019_D8_222Male					C	D8	2017		1	0	female	pulex		
May_2017_D8_773SM					C	D8	2017		1	0	female	pulex		
Spring_2017_DBunk_116SM					E	DBunk	2017		1	0	female	pulex		
Spring_2017_DBunk_347SM					F	DBunk	2017		1	0	female	pulex		
Spring_2016_D8_8.1					H	D8	2016		1	0	female	pulex		
May_2017_D8_731SM					OO	D8	2017		1	0	female	pulex		
April_2017_DCat_10	1	16	17	171	poB	DCat	2017	18	0	0	female	pulex		
Spring_2016_D8_8.23	1	19	17	172	poC	D8	2016	22	0	0	female	pulex		
Spring_2016_D8_8.24	1	144	17	173	poH	D8	2016	22	0	0	female	pulex		
Spring_2016_D8_8.31	1	145	17	174	poW	D8	2016	25	0	0	female	pulex		
April_2017_DCat_5	1	16	17	175	roB	DCat	2017	19	0	0	female	pulex		
April_2017_D8_214	1	19	17	176	roC	D8	2017	12	0	0	female	pulex		
Spring_2016_D8_8.2					W	D8	2016	6	1	0	female	pulex		
