clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	LowReadDepth	Notes
Spring_2017_D8_282	89	18	1	1	A	D8	2017	19	0	0	female	pulex		
Spring_2017_D8_294	89	18	1	1	A	D8	2017	13	0	0	female	pulex		
Spring_2017_D8_327	89	18	1	1	A	D8	2017	16	0	0	female	pulex		
Spring_2017_D8_329	89	18	1	1	A	D8	2017	12	0	0	female	pulex		
Spring_2017_D8_339	89	18	1	1	A	D8	2017	22	0	0	female	pulex		
Spring_2017_D8_340	89	18	1	1	A	D8	2017	14	0	0	female	pulex		
Spring_2017_D8_343	89	18	1	1	A	D8	2017	13	0	0	female	pulex		
Spring_2017_D8_350	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
Spring_2017_D8_362	89	18	1	1	A	D8	2017	17	0	0	female	pulex		
Spring_2017_D8_366	89	18	1	1	A	D8	2017	13	0	0	female	pulex		
April_2017_DCat_2	34	16	2	2	B	DCat	2017	17	0	0	female	pulex		
April_2017_DCat_3	34	16	2	2	B	DCat	2017	15	0	0	female	pulex		
April29_2018_DCat_Male1	34	16	2	2	B	DCat	2018	2	0	1	male	pulex	1	
April29_2018_DCat_Male2	34	16	2	2	B	DCat	2018	8	0	1	male	pulex		
April29_2018_DCat_Male3	34	16	2	2	B	DCat	2018	9	0	1	male	pulex		
April29_2018_DCat_Male4	34	16	2	2	B	DCat	2018	9	0	1	male	pulex		
April29_2018_DCat_Male5	34	16	2	2	B	DCat	2018	7	0	1	male	pulex		
April29_2018_DCat_MomPE1	34	16	2	2	B	DCat	2018	9	0	1	female	pulex		
April29_2018_DCat_MomPE2	34	16	2	2	B	DCat	2018	8	0	1	female	pulex		
April29_2018_DCat_MomPE3	34	16	2	2	B	DCat	2018	9	0	1	female	pulex		
April29_2018_DCat_MomPE4	34	16	2	2	B	DCat	2018	7	0	1	female	pulex		
April29_2018_DCat_MomPE5	34	16	2	2	B	DCat	2018	13	0	1	female	pulex		
March15_2019_DCat_MomPE1	34	16	2	2	B	DCat	2019	16	0	1	female	pulex		
March15_2019_DCat_MomPE10	34	16	2	2	B	DCat	2019	10	0	1	female	pulex		
March15_2019_DCat_MomPE11	34	16	2	2	B	DCat	2019	8	0	1	female	pulex		
March15_2019_DCat_MomPE12	34	16	2	2	B	DCat	2019	8	0	1	female	pulex		
March15_2019_DCat_MomPE13	34	16	2	2	B	DCat	2019	13	0	1	female	pulex		
March15_2019_DCat_MomPE14	34	16	2	2	B	DCat	2019	7	0	1	female	pulex		
March15_2019_DCat_MomPE15	34	16	2	2	B	DCat	2019	10	0	1	female	pulex		
March15_2019_DCat_MomPE16	34	16	2	2	B	DCat	2019	6	0	1	female	pulex		
March15_2019_DCat_MomPE17	34	16	2	2	B	DCat	2019	7	0	1	female	pulex		
March15_2019_DCat_MomPE18	34	16	2	2	B	DCat	2019	12	0	1	female	pulex		
March15_2019_DCat_MomPE19	34	16	2	2	B	DCat	2019	10	0	1	female	pulex		
March15_2019_DCat_MomPE2	34	16	2	2	B	DCat	2019	12	0	1	female	pulex		
March15_2019_DCat_MomPE20	34	16	2	2	B	DCat	2019	14	0	1	female	pulex		
March15_2019_DCat_MomPE3	34	16	2	2	B	DCat	2019	18	0	1	female	pulex		
March15_2019_DCat_MomPE4	34	16	2	2	B	DCat	2019	15	0	1	female	pulex		
March15_2019_DCat_MomPE5	34	16	2	2	B	DCat	2019	9	0	1	female	pulex		
March15_2019_DCat_MomPE6	34	16	2	2	B	DCat	2019	11	0	1	female	pulex		
March15_2019_DCat_MomPE7	34	16	2	2	B	DCat	2019	7	0	1	female	pulex		
March15_2019_DCat_MomPE8	34	16	2	2	B	DCat	2019	12	0	1	female	pulex		
March15_2019_DCat_MomPE9	34	16	2	2	B	DCat	2019	10	0	1	female	pulex		
March20_2018_Dcat_1	34	16	2	2	B	Dcat	2018	15	0	1	female	pulex		
March20_2018_Dcat_2	34	16	2	2	B	Dcat	2018	18	0	1	female	pulex		
April_2017_D8_125	28	19	3	3	C	D8	2017	21	0	0	female	pulex		
April_2017_D8_130	28	19	3	3	C	D8	2017	14	0	0	female	pulex		
April_2017_D8_143	28	19	3	3	C	D8	2017	21	0	0	female	pulex		
April_2017_D8_151	28	19	3	3	C	D8	2017	35	0	0	female	pulex		
April_2017_D8_165	28	19	3	3	C	D8	2017	18	0	0	female	pulex		
April_2017_D8_17	28	19	3	3	C	D8	2017	15	0	0	female	pulex		
April_2017_D8_18	28	19	3	3	C	D8	2017	21	0	0	female	pulex		
April_2017_D8_210	28	19	3	3	C	D8	2017	13	0	0	female	pulex		
April_2017_D8_222	28	19	3	3	C	D8	2017	22	0	0	female	pulex		
April_2017_D8_27	28	19	3	3	C	D8	2017	17	0	0	female	pulex		
April_2017_D8_32	28	19	3	3	C	D8	2017	16	0	0	female	pulex		
April_2017_D8_326	28	19	3	3	C	D8	2017	15	0	0	female	pulex		
April_2017_D8_47	28	19	3	3	C	D8	2017	12	0	0	female	pulex		
April_2017_D8_48	28	19	3	3	C	D8	2017	12	0	0	female	pulex		
April_2017_D8_58	28	19	3	3	C	D8	2017	13	0	0	female	pulex		
April_2017_D8_79	28	19	3	3	C	D8	2017	12	0	0	female	pulex		
April_2017_D8_91	28	19	3	3	C	D8	2017	19	0	0	female	pulex		
April_2017_DMud_78	28	19	3	3	C	DMud	2017	15	0	0	female	pulex		
May_2017_D8_503	28	19	3	3	C	D8	2017	18	0	0	female	pulex		
May_2017_D8_515	28	19	3	3	C	D8	2017	19	0	0	female	pulex		
May_2017_D8_632	28	19	3	3	C	D8	2017	12	0	0	female	pulex		
May_2017_D8_752	28	19	3	3	C	D8	2017	16	0	0	female	pulex		
May_2017_D8_758	28	19	3	3	C	D8	2017	16	0	0	female	pulex		
May_2017_D8_773	28	19	3	3	C	D8	2017	11	0	0	female	pulex		
May_2017_D8_780	28	19	3	3	C	D8	2017	17	0	0	female	pulex		
Spring_2016_D8_8.17	28	19	3	3	C	D8	2016	11	0	0	female	pulex		
Spring_2017_D8_204	28	19	3	3	C	D8	2017	13	0	0	female	pulex		
Spring_2017_D8_224	28	19	3	3	C	D8	2017	15	0	0	female	pulex		
Fall_2016_D10_46	27	72	4	4	D	D10	2016	13	0	0	female	pulex		
Fall_2016_D10_49	27	72	4	4	D	D10	2016	11	0	0	female	pulex		
Fall_2016_D10_50	27	72	4	4	D	D10	2016	14	0	0	female	pulex		
Fall_2016_D10_57	27	72	4	4	D	D10	2016	17	0	0	female	pulex		
Fall_2016_D10_62	27	72	4	4	D	D10	2016	18	0	0	female	pulex		
Fall_2016_D10_63	27	72	4	4	D	D10	2016	10	0	0	female	pulex		
Fall_2016_D10_67	27	72	4	4	D	D10	2016	15	0	0	female	pulex		
Fall_2016_D10_70	27	72	4	4	D	D10	2016	17	0	0	female	pulex		
Fall_2016_D10_74	27	72	4	4	D	D10	2016	13	0	0	female	pulex		
Fall_2016_D10_76	27	72	4	4	D	D10	2016	18	0	0	female	pulex		
Fall_2016_D10_79	27	72	4	4	D	D10	2016	16	0	0	female	pulex		
Fall_2016_D10_81	27	72	4	4	D	D10	2016	14	0	0	female	pulex		
Fall_2016_D10_85	27	72	4	4	D	D10	2016	16	0	0	female	pulex		
Fall_2016_D10_A12	27	72	4	4	D	D10	2016	10	0	0	female	pulex		
Fall_2016_D10_A13	27	72	4	4	D	D10	2016	10	0	0	female	pulex		
Fall_2016_D10_A14	27	72	4	4	D	D10	2016	16	0	0	female	pulex		
Fall_2016_D10_A20	27	72	4	4	D	D10	2016	13	0	0	female	pulex		
Fall_2016_D10_A21	27	72	4	4	D	D10	2016	10	0	0	female	pulex		
Fall_2016_D10_A4	27	72	4	4	D	D10	2016	21	0	0	female	pulex		
Fall_2016_D10_A6	27	72	4	4	D	D10	2016	11	0	0	female	pulex		
Fall_2016_D10_A7	27	72	4	4	D	D10	2016	17	0	0	female	pulex		
Fall_2016_D10_A9	27	72	4	4	D	D10	2016	18	0	0	female	pulex		
Spring_2016_D10_10.1	27	72	4	4	D	D10	2016	16	0	0	female	pulex		
Spring_2016_D10_10.3	27	72	4	4	D	D10	2016	13	0	0	female	pulex		
Spring_2016_D10_10.4	27	72	4	4	D	D10	2016	19	0	0	female	pulex		
