Clone	Date_Mortality	TossedMarch2nd	AliveMarch72018	Date Arrived	DaystoMortality	Season
D8_661	6/23/17			5/1/17	53	May
D8_681	6/23/17			5/1/17	53	May
D8_692	6/23/17			5/1/17	53	May
D8_698	6/23/17			5/1/17	53	May
D8_700	6/23/17			5/1/17	53	May
D8_705	6/23/17			5/1/17	53	May
D8_720	6/23/17			5/1/17	53	May
D8_728	6/23/17			5/1/17	53	May
D8_504	30-Jun			5/1/17	60	May
D8_506	30-Jun			5/1/17	60	May
D8_517	30-Jun			5/1/17	60	May
D8_518	30-Jun			5/1/17	60	May
D8_525	30-Jun			5/1/17	60	May
D8_535	30-Jun			5/1/17	60	May
D8_540	30-Jun			5/1/17	60	May
D8_322	7/12/17			4/17/17	86	April
D8_332	7/12/17			4/17/17	86	April
D8_508	7/12/17			5/1/17	72	May
D8_594	7/12/17			5/1/17	72	May
D8_683	7/12/17			5/1/17	72	May
D8_684	7/12/17			5/1/17	72	May
D8_687	7/12/17			5/1/17	72	May
D8_167	7/18/17			4/17/17	92	April
D8_208	7/18/17			4/17/17	92	April
D8_284	7/18/17			4/17/17	92	April
D8_287	7/18/17			4/17/17	92	April
D8_291	7/18/17			4/17/17	92	April
D8_292	7/18/17			4/17/17	92	April
D8_303	7/18/17			4/17/17	92	April
D8_315	7/18/17			4/17/17	92	April
D8_348	7/18/17			4/17/17	92	April
D8_354	7/18/17			4/17/17	92	April
D8_364	7/18/17			4/17/17	92	April
D8_104	7/31/17			4/17/17	105	April
D8_219	7/31/17			4/17/17	105	April
D8_269	7/31/17			4/17/17	105	April
D8_351	7/31/17			4/17/17	105	April
D8_356	7/31/17			4/17/17	105	April
D8_503	7/31/17			5/1/17	91	May
D8_645	7/31/17			5/1/17	91	May
D8_671	7/31/17			5/1/17	91	May
D8_747	7/31/17			5/1/17	91	May
D8_169	8/1/17			4/17/17	106	April
D8_79	8/1/17			4/17/17	106	April
D8_181	8/7/17			4/17/17	112	April
D8_32	8/7/17			4/17/17	112	April
D8_357	8/7/17			4/17/17	112	April
D8_363	8/22/17			4/17/17	127	April
D8_370	8/22/17			4/17/17	127	April
D8_581	8/22/17			5/1/17	113	May
D8_599	8/22/17			5/1/17	113	May
D8_588	9/13/17			5/1/17	135	May
D8_610	9/13/17			5/1/17	135	May
D8_18	9/18/17			4/17/17	154	April
D8_127	9/21/17			4/17/17	157	April
D8_136	9/21/17			4/17/17	157	April
D8_171	9/21/17			4/17/17	157	April
D8_214	9/21/17			4/17/17	157	April
D8_545	9/21/17			5/1/17	143	May
D8_557	9/21/17			5/1/17	143	May
D8_583	9/21/17			5/1/17	143	May
D8_706	9/21/17			5/1/17	143	May
D8_334	9/27/17			4/17/17	163	April
D8_352	9/27/17			4/17/17	163	April
D8_510	9/27/17			5/1/17	149	May
D8_663	9/27/17			5/1/17	149	May
D8_679	9/27/17			5/1/17	149	May
D8_704	9/27/17			5/1/17	149	May
D8_755	9/27/17			5/1/17	149	May
D8_759	9/27/17			5/1/17	149	May
D8_763	9/27/17			5/1/17	149	May
D8_778	9/27/17			5/1/17	149	May
D8_780	9/27/17			5/1/17	149	May
D8_784	9/27/17			5/1/17	149	May
D8_123	10/17/17			4/17/17	183	April
D8_133	10/17/17			4/17/17	183	April
D8_159	10/17/17			4/17/17	183	April
D8_17	10/17/17			4/17/17	183	April
D8_201	10/17/17			4/17/17	183	April
D8_216	10/17/17			4/17/17	183	April
D8_220	10/17/17			4/17/17	183	April
D8_27	10/17/17			4/17/17	183	April
D8_47	10/17/17			4/17/17	183	April
D8_48	10/17/17			4/17/17	183	April
D8_55	10/17/17			4/17/17	183	April
D8_568	10/17/17			5/1/17	169	May
D8_605	10/17/17			5/1/17	169	May
D8_703	10/17/17			5/1/17	169	May
D8_751	10/17/17			5/1/17	169	May
D8_768	10/17/17			5/1/17	169	May
D8_783	10/17/17			5/1/17	169	May
D8_130	10/25/17			4/17/17	191	April
D8_151	10/25/17			4/17/17	191	April
D8_191	10/25/17			4/17/17	191	April
D8_206	10/25/17			4/17/17	191	April
D8_331	10/25/17			4/17/17	191	April
D8_527	10/25/17			5/1/17	177	May
D8_562	10/25/17			5/1/17	177	May
D8_639	10/25/17			5/1/17	177	May
D8_744	10/25/17			5/1/17	177	May
D8_758	10/25/17			5/1/17	177	May
D8_77	10/25/17			4/17/17	191	April
D8_101	2/2/18			4/17/17	291	April
D8_143	2/2/18			4/17/17	291	April
D8_165	2/2/18			4/17/17	291	April
D8_218	2/2/18			4/17/17	291	April
D8_239	2/2/18			4/17/17	291	April
D8_256	2/2/18			4/17/17	291	April
D8_262	2/2/18			4/17/17	291	April
D8_305	2/2/18			4/17/17	291	April
D8_326	2/2/18			4/17/17	291	April
D8_327	2/2/18			4/17/17	291	April
D8_329	2/2/18			4/17/17	291	April
D8_336	2/2/18			4/17/17	291	April
D8_338	2/2/18			4/17/17	291	April
D8_532	2/2/18			5/1/17	277	May
D8_538	2/2/18			5/1/17	277	May
D8_58	2/2/18			4/17/17	291	April
D8_673	2/2/18			5/1/17	277	May
D8_735	2/2/18			5/1/17	277	May
D8_773	2/2/18			5/1/17	277	May
D8_776	2/2/18			5/1/17	277	May
D8_91	2/2/18			4/17/17	291	April
D8_126	2/21/18			4/17/17	310	April
D8_144	2/21/18			4/17/17	310	April
D8_170	2/21/18			4/17/17	310	April
D8_204	2/21/18			4/17/17	310	April
D8_265	2/21/18			4/17/17	310	April
D8_335	2/21/18			4/17/17	310	April
D8_346	2/21/18			4/17/17	310	April
D8_365	2/21/18			4/17/17	310	April
D8_368	2/21/18			4/17/17	310	April
D8_371	2/21/18			4/17/17	310	April
D8_400	2/21/18			4/17/17	310	April
D8_511	2/21/18			5/1/17	296	May
D8_514	2/21/18			5/1/17	296	May
D8_516	2/21/18			5/1/17	296	May
D8_529	2/21/18			5/1/17	296	May
D8_549	2/21/18			5/1/17	296	May
D8_551	2/21/18			5/1/17	296	May
D8_554	2/21/18			5/1/17	296	May
D8_564	2/21/18			5/1/17	296	May
D8_569	2/21/18			5/1/17	296	May
D8_582	2/21/18			5/1/17	296	May
D8_600	2/21/18			5/1/17	296	May
D8_604	2/21/18			5/1/17	296	May
D8_607	2/21/18			5/1/17	296	May
D8_615	2/21/18			5/1/17	296	May
D8_621	2/21/18			5/1/17	296	May
D8_628	2/21/18			5/1/17	296	May
D8_629	2/21/18			5/1/17	296	May
D8_632	2/21/18			5/1/17	296	May
D8_635	2/21/18			5/1/17	296	May
D8_636	2/21/18			5/1/17	296	May
D8_662	2/21/18			5/1/17	296	May
D8_664	2/21/18			5/1/17	296	May
D8_667	2/21/18			5/1/17	296	May
D8_669	2/21/18			5/1/17	296	May
D8_695	2/21/18			5/1/17	296	May
D8_702	2/21/18			5/1/17	296	May
D8_725	2/21/18			5/1/17	296	May
D8_764	2/21/18			5/1/17	296	May
D8_767	2/21/18			5/1/17	296	May
D8_772	2/21/18			5/1/17	296	May
D8_81	2/21/18			4/17/17	310	April
D8_137	3/7/18			4/17/17	324	April
D8_157	3/7/18			4/17/17	324	April
D8_189	3/7/18			4/17/17	324	April
D8_210	3/7/18			4/17/17	324	April
D8_224	3/7/18			4/17/17	324	April
D8_225	3/7/18			4/17/17	324	April
D8_250	3/7/18			4/17/17	324	April
D8_251	3/7/18			4/17/17	324	April
D8_271	3/7/18			4/17/17	324	April
D8_299	3/7/18			4/17/17	324	April
D8_333	3/7/18			4/17/17	324	April
D8_340	3/7/18			4/17/17	324	April
D8_355	3/7/18			4/17/17	324	April
D8_359	3/7/18			4/17/17	324	April
D8_361	3/7/18			4/17/17	324	April
D8_367	3/7/18			4/17/17	324	April
D8_372	3/7/18			4/17/17	324	April
D8_43	3/7/18			4/17/17	324	April
D8_533	3/7/18			5/1/17	310	May
D8_534	3/7/18			5/1/17	310	May
D8_536	3/7/18			5/1/17	310	May
D8_546	3/7/18			5/1/17	310	May
D8_548	3/7/18			5/1/17	310	May
D8_553	3/7/18			5/1/17	310	May
D8_555	3/7/18			5/1/17	310	May
D8_556	3/7/18			5/1/17	310	May
D8_563	3/7/18			5/1/17	310	May
D8_574	3/7/18			5/1/17	310	May
D8_576	3/7/18			5/1/17	310	May
D8_60	3/7/18			4/17/17	324	April
D8_601	3/7/18			5/1/17	310	May
D8_614	3/7/18			5/1/17	310	May
D8_623	3/7/18			5/1/17	310	May
D8_634	3/7/18			5/1/17	310	May
D8_640	3/7/18			5/1/17	310	May
D8_641	3/7/18			5/1/17	310	May
D8_646	3/7/18			5/1/17	310	May
D8_647	3/7/18			5/1/17	310	May
D8_648	3/7/18			5/1/17	310	May
D8_649	3/7/18			5/1/17	310	May
D8_65	3/7/18			4/17/17	324	April
D8_651	3/7/18			5/1/17	310	May
D8_652	3/7/18			5/1/17	310	May
D8_653	3/7/18			5/1/17	310	May
D8_654	3/7/18			5/1/17	310	May
D8_656	3/7/18			5/1/17	310	May
D8_707	3/7/18			5/1/17	310	May
D8_714	3/7/18			5/1/17	310	May
D8_722	3/7/18			5/1/17	310	May
D8_726	3/7/18			5/1/17	310	May
D8_73	3/7/18			4/17/17	324	April
D8_731	3/7/18			5/1/17	310	May
D8_734	3/7/18			5/1/17	310	May
D8_737	3/7/18			5/1/17	310	May
D8_742	3/7/18			5/1/17	310	May
D8_745	3/7/18			5/1/17	310	May
D8_746	3/7/18			5/1/17	310	May
D8_749	3/7/18			5/1/17	310	May
D8_752	3/7/18			5/1/17	310	May
D8_753	3/7/18			5/1/17	310	May
D8_754	3/7/18			5/1/17	310	May
D8_756	3/7/18			5/1/17	310	May
D8_762	3/7/18			5/1/17	310	May
D8_770	3/7/18			5/1/17	310	May
D8_119		Y		4/17/17		April
D8_131		Y		4/17/17		April
D8_132		Y		4/17/17		April
D8_141		Y		4/17/17		April
D8_142		Y		4/17/17		April
D8_147		Y		4/17/17		April
D8_150		Y		4/17/17		April
D8_175		Y		4/17/17		April
D8_183		Y		4/17/17		April
D8_202		Y		4/17/17		April
D8_203		Y		4/17/17		April
D8_205		Y		4/17/17		April
D8_209		Y		4/17/17		April
D8_211		Y		4/17/17		April
D8_212		Y		4/17/17		April
D8_215		Y		4/17/17		April
D8_223		Y		4/17/17		April
D8_227		Y		4/17/17		April
D8_230		Y		4/17/17		April
D8_248		Y		4/17/17		April
D8_249		Y		4/17/17		April
D8_254		Y		4/17/17		April
D8_285		Y		4/17/17		April
D8_298		Y		4/17/17		April
D8_304		Y		4/17/17		April
D8_342		Y		4/17/17		April
D8_360		Y		4/17/17		April
D8_399		Y		4/17/17		April
D8_103			Y	4/17/17		April
D8_125			Y	4/17/17		April
D8_134			Y	4/17/17		April
D8_139			Y	4/17/17		April
D8_179			Y	4/17/17		April
D8_187			Y	4/17/17		April
D8_195			Y	4/17/17		April
D8_213			Y	4/17/17		April
D8_217			Y	4/17/17		April
D8_222			Y	4/17/17		April
D8_282			Y	4/17/17		April
D8_294			Y	4/17/17		April
D8_328			Y	4/17/17		April
D8_330			Y	4/17/17		April
D8_339			Y	4/17/17		April
D8_341			Y	4/17/17		April
D8_343			Y	4/17/17		April
D8_345			Y	4/17/17		April
D8_349			Y	4/17/17		April
D8_350			Y	4/17/17		April
D8_362			Y	4/17/17		April
D8_366			Y	4/17/17		April
D8_373			Y	4/17/17		April
D8_374			Y	4/17/17		April
D8_500			Y	5/1/17		May
D8_509			Y	5/1/17		May
D8_515			Y	5/1/17		May
D8_519			Y	5/1/17		May
D8_520			Y	5/1/17		May
D8_521			Y	5/1/17		May
D8_526			Y	5/1/17		May
D8_537			Y	5/1/17		May
D8_539			Y	5/1/17		May
D8_542			Y	5/1/17		May
D8_543			Y	5/1/17		May
D8_544			Y	5/1/17		May
D8_560			Y	5/1/17		May
D8_580			Y	5/1/17		May
D8_587			Y	5/1/17		May
D8_592			Y	5/1/17		May
D8_598			Y	5/1/17		May
D8_612			Y	5/1/17		May
D8_613			Y	5/1/17		May
D8_622			Y	5/1/17		May
D8_642			Y	5/1/17		May
D8_668			Y	5/1/17		May
D8_710			Y	5/1/17		May
D8_771			Y	5/1/17		May
D8_782			Y	5/1/17		May
D8_785			Y	5/1/17		May
D8_83			Y	4/17/17		April
D8_84			Y	4/17/17		April
D8_9			Y	4/17/17		April
DBunk 1	4/24/17			4/17/17	7	April
DBunk 10	2/21/18			4/17/17	310	April
DBunk 100	2/21/18			4/17/17	310	April
DBunk 101			Y	4/17/17		April
DBunk 102	9/21/17			4/17/17	157	April
DBunk 103			Y	4/17/17		April
DBunk 104	4/24/17			4/17/17	7	April
DBunk 105			Y	4/17/17		April
DBunk 106	3/7/18		N	4/17/17	324	April
DBunk 107	2/21/18			4/17/17	310	April
DBunk 108			Y	4/17/17		April
DBunk 109	4/24/17			4/17/17	7	April
DBunk 11	2/2/18			4/17/17	291	April
DBunk 110			Y	4/17/17		April
DBunk 111			Y	4/17/17		April
DBunk 112			Y	4/17/17		April
DBunk 113	9/13/17			4/17/17	149	April
DBunk 114	2/21/18			4/17/17	310	April
DBunk 115	4/25/17			4/17/17	8	April
DBunk 116			Y	4/17/17		April
DBunk 117	4/26/17			4/17/17	9	April
DBunk 118	2/21/18			4/17/17	310	April
DBunk 119	2/2/18			4/17/17	291	April
DBunk 12	3/7/18		N	4/17/17	324	April
DBunk 120	2/21/18			4/17/17	310	April
DBunk 121			Y	4/17/17		April
DBunk 122	2/21/18		Y	4/17/17	310	April
DBunk 123	9/13/17			4/17/17	149	April
DBunk 124	4/27/17			4/17/17	10	April
DBunk 125			Y	4/17/17		April
DBunk 126	4/24/17			4/17/17	7	April
DBunk 127	5/11/17			4/17/17	24	April
DBunk 128	9/21/17			4/17/17	157	April
DBunk 129	3/7/18		N	4/17/17	324	April
DBunk 13			Y	4/17/17		April
DBunk 130	2/21/18			4/17/17	310	April
DBunk 131	2/2/18			4/17/17	291	April
DBunk 132			Y	4/17/17		April
DBunk 133	2/2/18			4/17/17	291	April
DBunk 134	2/21/18			4/17/17	310	April
DBunk 135	4/24/17			4/17/17	7	April
DBunk 136	2/21/18			4/17/17	310	April
DBunk 137	2/2/18			4/17/17	291	April
DBunk 138	9/13/17			4/17/17	149	April
DBunk 139	9/21/17			4/17/17	157	April
DBunk 14	4/24/17			4/17/17	7	April
DBunk 140	2/21/18			4/17/17	310	April
DBunk 141	3/7/18		N	4/17/17	324	April
DBunk 142	6/15/17			4/17/17	59	April
DBunk 143			Y	4/17/17		April
DBunk 144	2/21/18			4/17/17	310	April
DBunk 145	9/21/17			4/17/17	157	April
DBunk 146	4/27/17			4/17/17	10	April
DBunk 147	8/22/17			4/17/17	127	April
DBunk 148	9/21/17			4/17/17	157	April
DBunk 149	2/2/18			4/17/17	291	April
DBunk 15	4/24/17			4/17/17	7	April
DBunk 150	9/21/17			4/17/17	157	April
DBunk 151	9/21/17			4/17/17	157	April
DBunk 152	2/2/18			4/17/17	291	April
DBunk 153	9/21/17			4/17/17	157	April
DBunk 154	9/13/17			4/17/17	149	April
DBunk 155	4/24/17			4/17/17	7	April
DBunk 156	5/5/17			4/17/17	18	April
DBunk 157	5/5/17			4/17/17	18	April
DBunk 158	4/24/17			4/17/17	7	April
DBunk 159	2/21/18			4/17/17	310	April
DBunk 16	4/24/17			4/17/17	7	April
DBunk 160	2/2/18			4/17/17	291	April
DBunk 161	4/24/17			4/17/17	7	April
DBunk 162	9/21/17			4/17/17	157	April
DBunk 163	9/13/17			4/17/17	149	April
DBunk 164	5/5/17			4/17/17	18	April
DBunk 165	6/15/17			4/17/17	59	April
DBunk 166	2/21/18			4/17/17	310	April
DBunk 167	2/21/18			4/17/17	310	April
DBunk 168	5/16/17			4/17/17	29	April
DBunk 169	4/24/17			4/17/17	7	April
DBunk 17	4/24/17			4/17/17	7	April
DBunk 170	4/24/17			4/17/17	7	April
DBunk 171	4/24/17			4/17/17	7	April
DBunk 172	9/21/17			4/17/17	157	April
DBunk 173			Y	4/17/17		April
DBunk 174	7/12/17			4/17/17	86	April
DBunk 175	8/22/17			4/17/17	127	April
DBunk 176	9/13/17			4/17/17	149	April
DBunk 177	9/21/17			4/17/17	157	April
DBunk 178	9/21/17			4/17/17	157	April
DBunk 179	9/21/17			4/17/17	157	April
DBunk 18	4/24/17			4/17/17	7	April
DBunk 180	9/21/17			4/17/17	157	April
DBunk 181	2/21/18			4/17/17	310	April
DBunk 182			Y	4/17/17		April
DBunk 183			Y	4/17/17		April
DBunk 184	2/21/18			4/17/17	310	April
DBunk 185	9/21/17			4/17/17	157	April
DBunk 186	7/18/17			4/17/17	92	April
DBunk 187	9/21/17			4/17/17	157	April
DBunk 188	2/21/18			4/17/17	310	April
DBunk 189	4/27/17			4/17/17	10	April
DBunk 19	9/18/17			4/17/17	154	April
DBunk 190			Y	4/17/17		April
DBunk 191	9/21/17			4/17/17	157	April
DBunk 192	9/21/17			4/17/17	157	April
DBunk 193	2/21/18			4/17/17	310	April
DBunk 194	4/24/17			4/17/17	7	April
DBunk 195	9/21/17			4/17/17	157	April
DBunk 196	2/21/18			4/17/17	310	April
DBunk 197	3/7/18		N	4/17/17	324	April
DBunk 198	3/7/18		N	4/17/17	324	April
DBunk 199			Y	4/17/17		April
DBunk 2	4/24/17			4/17/17	7	April
DBunk 20	4/27/17			4/17/17	10	April
DBunk 200	9/27/17			4/17/17	163	April
DBunk 201	6/15/17			4/17/17	59	April
DBunk 202	9/27/17			4/17/17	163	April
DBunk 203	9/27/17			4/17/17	163	April
DBunk 204	5/31/17			4/17/17	44	April
DBunk 205	7/12/17			4/17/17	86	April
DBunk 206	3/7/18		N	4/17/17	324	April
DBunk 207	2/21/18			4/17/17	310	April
DBunk 208	4/24/17			4/17/17	7	April
DBunk 209	2/2/18			4/17/17	291	April
DBunk 21	2/2/18			4/17/17	291	April
DBunk 210	4/24/17			4/17/17	7	April
DBunk 211	2/21/18			4/17/17	310	April
DBunk 212	5/31/17			4/17/17	44	April
DBunk 213			Y	4/17/17		April
DBunk 214	3/7/18		N	4/17/17	324	April
DBunk 215			Y	4/17/17		April
DBunk 216	9/13/17			4/17/17	149	April
DBunk 217			Y	4/17/17		April
DBunk 218	9/27/17			4/17/17	163	April
DBunk 219	2/21/18			4/17/17	310	April
DBunk 22	4/24/17			4/17/17	7	April
DBunk 220	3/7/18		N	4/17/17	324	April
DBunk 221	4/24/17			4/17/17	7	April
DBunk 222			Y	4/17/17		April
DBunk 223	2/21/18			4/17/17	310	April
DBunk 224	2/21/18			4/17/17	310	April
DBunk 225	4/24/17			4/17/17	7	April
DBunk 226	3/7/18		N	4/17/17	324	April
DBunk 227	9/27/17			4/17/17	163	April
DBunk 228			Y	4/17/17		April
DBunk 229	2/21/18			4/17/17	310	April
DBunk 23	9/18/17			4/17/17	154	April
DBunk 230			Y	4/17/17		April
DBunk 231	4/24/17			4/17/17	7	April
DBunk 232	3/7/18		N	4/17/17	324	April
DBunk 233	2/2/18			4/17/17	291	April
DBunk 234	6/30/17			4/17/17	74	April
DBunk 235	4/24/17			4/17/17	7	April
DBunk 236	8/22/17			4/17/17	127	April
DBunk 237	9/13/17			4/17/17	149	April
DBunk 238	8/22/17			4/17/17	127	April
DBunk 239	3/7/18		N	4/17/17	324	April
DBunk 24	7/31/17			4/17/17	105	April
DBunk 240	8/22/17			4/17/17	127	April
DBunk 241	4/24/17			4/17/17	7	April
DBunk 242	2/21/18		Y	4/17/17	310	April
DBunk 243	4/24/17			4/17/17	7	April
DBunk 244	7/31/17			4/17/17	105	April
DBunk 245	2/21/18			4/17/17	310	April
DBunk 246	4/24/17			4/17/17	7	April
DBunk 247	6/30/17			4/17/17	74	April
DBunk 248			Y	4/17/17		April
DBunk 249	4/24/17			4/17/17	7	April
DBunk 25	4/24/17			4/17/17	7	April
DBunk 250	4/24/17			4/17/17	7	April
DBunk 251	8/22/17			4/17/17	127	April
DBunk 252			Y	4/17/17		April
DBunk 253	2/2/18			4/17/17	291	April
DBunk 254			Y	4/17/17		April
DBunk 255	2/21/18			4/17/17	310	April
DBunk 256	3/7/18		N	4/17/17	324	April
DBunk 257	8/22/17			4/17/17	127	April
DBunk 258	5/11/17			4/17/17	24	April
DBunk 259	6/1/17			4/17/17	45	April
DBunk 26			Y	4/17/17		April
DBunk 260			Y	4/17/17		April
