Clone	Date_Mortality	TossedMarch2nd	AliveMarch72018	Date Arrived	DaystoMortality	Season
DBunk 278	4/24/17			4/17/17	7	April
DBunk 279	4/24/17			4/17/17	7	April
DBunk 28	2/2/18			4/17/17	291	April
DBunk 280	4/24/17			4/17/17	7	April
DBunk 281			Y	4/17/17		April
DBunk 282	4/24/17			4/17/17	7	April
DBunk 283	3/7/18		N	4/17/17	324	April
DBunk 284	4/24/17			4/17/17	7	April
DBunk 285	2/21/18			4/17/17	310	April
DBunk 286	4/24/17			4/17/17	7	April
DBunk 287	2/21/18			4/17/17	310	April
DBunk 288	5/5/17			4/17/17	18	April
DBunk 289	2/21/18			4/17/17	310	April
DBunk 29	2/21/18			4/17/17	310	April
DBunk 290			Y	4/17/17		April
DBunk 291	4/24/17			4/17/17	7	April
DBunk 292	4/24/17			4/17/17	7	April
DBunk 293	4/24/17			4/17/17	7	April
DBunk 294	8/22/17			4/17/17	127	April
DBunk 295			Y	4/17/17		April
DBunk 296	2/21/18			4/17/17	310	April
DBunk 297			Y	4/17/17		April
DBunk 298	3/7/18		N	4/17/17	324	April
DBunk 299	10/17/17			4/17/17	183	April
DBunk 3	9/18/17			4/17/17	154	April
DBunk 30	4/27/17			4/17/17	10	April
DBunk 300	8/22/17			4/17/17	127	April
DBunk 301	9/27/17			4/17/17	163	April
DBunk 302	7/31/17			4/17/17	105	April
DBunk 303	10/17/17			4/17/17	183	April
DBunk 304	3/7/18		N	4/17/17	324	April
DBunk 305	9/27/17			4/17/17	163	April
DBunk 306	7/31/17			4/17/17	105	April
DBunk 307			Y	4/17/17		April
DBunk 308	4/24/17			4/17/17	7	April
DBunk 309	2/21/18			4/17/17	310	April
DBunk 31	4/27/17			4/17/17	10	April
DBunk 310	7/31/17			4/17/17	105	April
DBunk 311	2/21/18			4/17/17	310	April
DBunk 312	4/24/17			4/17/17	7	April
DBunk 313	3/7/18		N	4/17/17	324	April
DBunk 314			Y	4/17/17		April
DBunk 315			Y	4/17/17		April
DBunk 316	7/31/17			4/17/17	105	April
DBunk 317	2/2/18			4/17/17	291	April
DBunk 318	2/21/18			4/17/17	310	April
DBunk 319	8/22/17			4/17/17	127	April
DBunk 32	4/24/17			4/17/17	7	April
DBunk 320			Y	4/17/17		April
DBunk 321	2/2/18			4/17/17	291	April
DBunk 322	2/21/18			4/17/17	310	April
DBunk 323	2/21/18			4/17/17	310	April
DBunk 324			Y	4/17/17		April
DBunk 325	10/17/17			4/17/17	183	April
DBunk 326	9/21/17			4/17/17	157	April
DBunk 327	4/24/17			4/17/17	7	April
DBunk 328	9/21/17			4/17/17	157	April
DBunk 329	3/7/18		N	4/17/17	324	April
DBunk 33	7/31/17			4/17/17	105	April
DBunk 330	4/24/17			4/17/17	7	April
DBunk 331	9/27/17			4/17/17	163	April
DBunk 332	4/26/17			4/17/17	9	April
DBunk 333	2/2/18			4/17/17	291	April
DBunk 334			Y	4/17/17		April
DBunk 335	9/21/17			4/17/17	157	April
DBunk 336	9/27/17			4/17/17	163	April
DBunk 337	4/24/17			4/17/17	7	April
DBunk 338			Y	4/17/17		April
DBunk 339	9/27/17			4/17/17	163	April
DBunk 34			Y	4/17/17		April
DBunk 340			Y	4/17/17		April
DBunk 341			Y	4/17/17		April
DBunk 342	2/21/18			4/17/17	310	April
DBunk 343	9/21/17			4/17/17	157	April
DBunk 344	2/21/18			4/17/17	310	April
DBunk 345	4/24/17			4/17/17	7	April
DBunk 346	4/24/17			4/17/17	7	April
DBunk 347	3/7/18		N	4/17/17	324	April
DBunk 348	3/7/18		N	4/17/17	324	April
DBunk 349	4/24/17			4/17/17	7	April
DBunk 35	2/21/18			4/17/17	310	April
DBunk 350			Y	4/17/17		April
DBunk 351	9/21/17			4/17/17	157	April
DBunk 352	4/24/17			4/17/17	7	April
DBunk 353	3/7/18		N	4/17/17	324	April
DBunk 354	4/24/17			4/17/17	7	April
DBunk 355	9/21/17			4/17/17	157	April
DBunk 356	4/26/17			4/17/17	9	April
DBunk 357	4/24/17			4/17/17	7	April
DBunk 358	2/21/18			4/17/17	310	April
DBunk 359			Y	4/17/17		April
DBunk 36			Y	4/17/17		April
DBunk 360			Y	4/17/17		April
DBunk 361	4/24/17			4/17/17	7	April
DBunk 362	8/22/17			4/17/17	127	April
DBunk 363	2/2/18			4/17/17	291	April
DBunk 364	4/24/17			4/17/17	7	April
DBunk 365	2/21/18			4/17/17	310	April
DBunk 366	4/24/17			4/17/17	7	April
DBunk 367			Y	4/17/17		April
DBunk 368	4/24/17			4/17/17	7	April
DBunk 369	7/12/17			4/17/17	86	April
DBunk 37	9/18/17			4/17/17	154	April
DBunk 370	4/24/17			4/17/17	7	April
DBunk 371	7/31/17			4/17/17	105	April
DBunk 372	3/7/18		N	4/17/17	324	April
DBunk 373			Y	4/17/17		April
DBunk 374	2/21/18			4/17/17	310	April
DBunk 375	4/24/17			4/17/17	7	April
DBunk 376	5/12/17			4/17/17	25	April
DBunk 377	10/25/17			4/17/17	191	April
DBunk 378	3/7/18		N	4/17/17	324	April
DBunk 379	4/24/17			4/17/17	7	April
DBunk 38	2/2/18			4/17/17	291	April
DBunk 380	2/2/18			4/17/17	291	April
DBunk 381			Y	4/17/17		April
DBunk 382	3/7/18		N	4/17/17	324	April
DBunk 383			Y	4/17/17		April
DBunk 384	4/24/17			4/17/17	7	April
DBunk 385			Y	4/17/17		April
DBunk 386	4/24/17			4/17/17	7	April
DBunk 387			Y	4/17/17		April
DBunk 388	2/21/18			4/17/17	310	April
DBunk 389	4/24/17			4/17/17	7	April
DBunk 39	4/25/17			4/17/17	8	April
DBunk 390	8/7/17			4/17/17	112	April
DBunk 391	2/21/18			4/17/17	310	April
DBunk 392	2/21/18			4/17/17	310	April
DBunk 393	2/21/18			4/17/17	310	April
DBunk 394	3/7/18		N	4/17/17	324	April
DBunk 395	2/21/18			4/17/17	310	April
DBunk 396	2/21/18			4/17/17	310	April
DBunk 397	2/21/18			4/17/17	310	April
DBunk 398	9/18/17			4/17/17	154	April
DBunk 399			Y	4/17/17		April
DBunk 4	4/24/17			4/17/17	7	April
DBunk 40	4/26/17			4/17/17	9	April
DBunk 400	3/7/18		N	4/17/17	324	April
DBunk 41	7/31/17			4/17/17	105	April
DBunk 42	4/27/17			4/17/17	10	April
DBunk 43	5/11/17			4/17/17	24	April
DBunk 44	2/21/18			4/17/17	310	April
DBunk 45	10/25/17			4/17/17	191	April
DBunk 46	2/21/18			4/17/17	310	April
DBunk 47	4/28/17			4/17/17	11	April
DBunk 48	4/29/17			4/17/17	12	April
DBunk 49	4/30/17			4/17/17	13	April
DBunk 5			Y	4/17/17		April
DBunk 50	2/2/18			4/17/17	291	April
DBunk 52	2/2/18			4/17/17	291	April
DBunk 53	2/21/18			4/17/17	310	April
DBunk 54	10/25/17			4/17/17	191	April
DBunk 55	4/26/17			4/17/17	9	April
DBunk 56	9/21/17			4/17/17	157	April
DBunk 57	4/24/17			4/17/17	7	April
DBunk 58	4/25/17			4/17/17	8	April
DBunk 59			Y	4/17/17		April
DBunk 6	2/2/18			4/17/17	291	April
DBunk 60	2/21/18			4/17/17	310	April
DBunk 61	4/26/17			4/17/17	9	April
DBunk 62	9/21/17			4/17/17	157	April
DBunk 63	9/21/17			4/17/17	157	April
DBunk 64			Y	4/17/17		April
DBunk 65	9/21/17			4/17/17	157	April
DBunk 66	9/21/17			4/17/17	157	April
DBunk 67	2/21/18			4/17/17	310	April
DBunk 68	9/21/17			4/17/17	157	April
DBunk 69	8/22/17			4/17/17	127	April
DBunk 7			Y	4/17/17		April
DBunk 70	10/25/17			4/17/17	191	April
DBunk 71	2/2/18			4/17/17	291	April
DBunk 72	2/21/18			4/17/17	310	April
DBunk 73			Y	4/17/17		April
DBunk 74	2/21/18			4/17/17	310	April
DBunk 75	9/21/17			4/17/17	157	April
DBunk 76	9/21/17			4/17/17	157	April
DBunk 77	9/21/17			4/17/17	157	April
DBunk 78	2/21/18			4/17/17	310	April
DBunk 79	9/21/17			4/17/17	157	April
DBunk 8	4/24/17			4/17/17	7	April
DBunk 80	9/21/17			4/17/17	157	April
DBunk 81	4/27/17			4/17/17	10	April
DBunk 82	4/26/17			4/17/17	9	April
DBunk 83			Y	4/17/17		April
DBunk 84	9/21/17			4/17/17	157	April
DBunk 85	2/21/18			4/17/17	310	April
DBunk 86	2/21/18			4/17/17	310	April
DBunk 87	2/21/18			4/17/17	310	April
DBunk 88	4/24/17			4/17/17	7	April
DBunk 89	2/21/18			4/17/17	310	April
DBunk 9			Y	4/17/17		April
DBunk 90	2/2/18			4/17/17	291	April
DBunk 91			Y	4/17/17		April
DBunk 92	2/21/18			4/17/17	310	April
DBunk 93	4/24/17			4/17/17	7	April
DBunk 94			Y	4/17/17		April
DBunk 95			Y	4/17/17		April
DBunk 96	2/2/18			4/17/17	291	April
DBunk 97	4/24/17			4/17/17	7	April
DBunk 98	4/26/17			4/17/17	9	April
DBunk 99			Y	4/17/17		April
DBunk 500	2/21/18			5/1/17	296	May
DBunk 501				5/1/17		May
DBunk 502	5/16/17			5/1/17	15	May
DBunk 503	5/16/17			5/1/17	15	May
DBunk 504	7/31/17			5/1/17	91	May
DBunk 505	2/21/18			5/1/17	296	May
DBunk 506	2/21/18			5/1/17	296	May
DBunk 507	8/7/17			5/1/17	98	May
DBunk 508	8/7/17			5/1/17	98	May
DBunk 509			Y	5/1/17		May
DBunk 510	3/7/18		N	5/1/17	310	May
DBunk 511	2/21/18			5/1/17	296	May
DBunk 512			Y	5/1/17		May
DBunk 513	9/18/17			5/1/17	140	May
DBunk 514			Y	5/1/17		May
DBunk 515			Y	5/1/17		May
DBunk 516	3/7/18		N	5/1/17	310	May
DBunk 517	3/7/18		N	5/1/17	310	May
DBunk 518	3/7/18		N	5/1/17	310	May
DBunk 519			Y	5/1/17		May
DBunk 520	10/25/17			5/1/17	177	May
DBunk 521			Y	5/1/17		May
DBunk 522	2/21/18			5/1/17	296	May
DBunk 523			Y	5/1/17		May
DBunk 524	5/16/17			5/1/17	15	May
DBunk 525			Y	5/1/17		May
DBunk 526			Y	5/1/17		May
DBunk 527	3/7/18		N	5/1/17	310	May
DBunk 528	2/21/18			5/1/17	296	May
DBunk 529	2/21/18			5/1/17	296	May
DBunk 530	10/25/17			5/1/17	177	May
DBunk 531	2/21/18			5/1/17	296	May
DBunk 532			Y	5/1/17		May
DBunk 533	2/21/18			5/1/17	296	May
DBunk 534	2/21/18			5/1/17	296	May
DBunk 535			Y	5/1/17		May
DBunk 536	2/2/18			5/1/17	277	May
DBunk 537	7/31/17			5/1/17	91	May
DBunk 538	10/25/17			5/1/17	177	May
DBunk 539	2/21/18			5/1/17	296	May
DBunk 540			Y	5/1/17		May
DBunk 541	2/21/18			5/1/17	296	May
DBunk 542	6/15/17			5/1/17	45	May
DBunk 543	2/21/18			5/1/17	296	May
DBunk 544			Y	5/1/17		May
DBunk 545	2/21/18			5/1/17	296	May
DBunk 546	9/18/17			5/1/17	140	May
DBunk 547			Y	5/1/17		May
DBunk 548			Y	5/1/17		May
DBunk 549			Y	5/1/17		May
DBunk 550	3/7/18		N	5/1/17	310	May
DBunk 551	2/21/18			5/1/17	296	May
DBunk 552	5/16/17			5/1/17	15	May
DBunk 553	2/21/18			5/1/17	296	May
DBunk 554			Y	5/1/17		May
DBunk 555	2/21/18			5/1/17	296	May
DBunk 556	5/16/17			5/1/17	15	May
DBunk 557	3/7/18		N	5/1/17	310	May
DBunk 558			Y	5/1/17		May
DBunk 559			Y	5/1/17		May
DBunk 560	2/21/18			5/1/17	296	May
DBunk 561			Y	5/1/17		May
DBunk 562	5/2/17			5/1/17	1	May
DBunk 563	5/16/17			5/1/17	15	May
DBunk 564	5/2/17			5/1/17	1	May
DBunk 565	9/18/17			5/1/17	140	May
DBunk 566			Y	5/1/17		May
DBunk 567	2/2/18			5/1/17	277	May
DBunk 568	3/7/18		N	5/1/17	310	May
DBunk 569	3/7/18		N	5/1/17	310	May
DBunk 570	5/2/17			5/1/17	1	May
DBunk 571	5/2/17			5/1/17	1	May
DBunk 572			Y	5/1/17		May
DBunk 573	7/31/17			5/1/17	91	May
DBunk 574	7/18/17			5/1/17	78	May
DBunk 575			Y	5/1/17		May
DBunk 576	5/2/17			5/1/17	1	May
DBunk 577	2/21/18			5/1/17	296	May
DBunk 578	5/2/17			5/1/17	1	May
DBunk 579			Y	5/1/17		May
DBunk 580			Y	5/1/17		May
DBunk 581	3/7/18		N	5/1/17	310	May
DBunk 582	5/16/17			5/1/17	15	May
DBunk 583	3/7/18		N	5/1/17	310	May
DBunk 584	3/7/18		N	5/1/17	310	May
DBunk 585			Y	5/1/17		May
DBunk 586	2/21/18			5/1/17	296	May
DBunk 587	5/16/17			5/1/17	15	May
DBunk 588	3/7/18		N	5/1/17	310	May
DBunk 589			Y	5/1/17		May
DBunk 590			Y	5/1/17		May
DBunk 591	3/7/18		N	5/1/17	310	May
DBunk 592	2/21/18			5/1/17	296	May
DBunk 593	5/16/17			5/1/17	15	May
DBunk 594			Y	5/1/17		May
DBunk 595	10/25/17			5/1/17	177	May
DBunk 596	7/31/17			5/1/17	91	May
DBunk 597	2/21/18			5/1/17	296	May
DBunk 598	9/18/17			5/1/17	140	May
DBunk 599	2/21/18			5/1/17	296	May
DBunk 600	9/18/17			5/1/17	140	May
