clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	AxCF1Hybrid	LabGenerated	OneLiterPheno	LowReadDepth	PnPsAnalysis
May_2017_D8_776	90	18	1	1	A	D8	2017	17	0	0	female	pulex	0	0	0		1
May_2017_DBunk_594	90	18	1	1	A	DBunk	2017	17	0	0	female	pulex	0	0	0		
Spring_2017_D8_187	90	18	1	1	A	D8	2017	19	0	0	female	pulex	0	0	0		1
Spring_2017_D8_225	90	18	1	1	A	D8	2017	23	0	0	female	pulex	0	0	0		1
Spring_2017_D8_262	90	18	1	1	A	D8	2017	17	0	0	female	pulex	0	0	0		1
Spring_2017_D8_282	90	18	1	1	A	D8	2017	19	0	0	female	pulex	0	0	0		1
Spring_2017_D8_294	90	18	1	1	A	D8	2017	13	0	0	female	pulex	0	0	0		1
Spring_2017_D8_327	90	18	1	1	A	D8	2017	16	0	0	female	pulex	0	0	0		1
Spring_2017_D8_329	90	18	1	1	A	D8	2017	12	0	0	female	pulex	0	0	0		1
Spring_2017_D8_339	90	18	1	1	A	D8	2017	22	0	0	female	pulex	0	0	0		1
Spring_2017_D8_340	90	18	1	1	A	D8	2017	14	0	0	female	pulex	0	0	0		1
Spring_2017_D8_343	90	18	1	1	A	D8	2017	13	0	0	female	pulex	0	0	0		1
Spring_2017_D8_350	90	18	1	1	A	D8	2017	18	0	0	female	pulex	0	0	0		1
Spring_2017_D8_362	90	18	1	1	A	D8	2017	17	0	0	female	pulex	0	0	0		1
Spring_2017_D8_366	90	18	1	1	A	D8	2017	13	0	0	female	pulex	0	0	0		1
March20_2018_D8_18031	90	18	1	1	A	D8	2018	10	0	0	female	pulex	0	0	1		
Lab_2019_D8_349Male					A	D8	2017		1	0	female	pulex	0	0	0		
May_2017_D8_770SM					A	D8	2017		1	0	female	pulex	0	0	0		
April_2017_DBunk_119	2	27	16	30	AD	DBunk	2017	12	0	0	female	pulex	0	0	0		
May_2017_DBunk_515	2	27	16	30	AD	DBunk	2017	12	0	0	female	pulex	0	0	0		
April_2017_DBunk_248	2	47	16	31	AE	DBunk	2017	20	0	0	female	pulex	0	0	0		
April_2017_DBunk_268	2	47	16	31	AE	DBunk	2017	10	0	0	female	pulex	0	0	0		
Fall_2016_D10_45	2	71	16	32	AF	D10	2016	16	0	0	female	pulex	0	0	0		
Fall_2016_D10_84	2	71	16	32	AF	D10	2016	21	0	0	female	pulex	0	0	0		
April5_2018_D8_18108	4	110	16	38	AL	D8	2018	5	0	0	female	pulex	1	0	1		
March20_2018_D8_18010	4	110	16	38	AL	D8	2018	11	0	0	female	pulex	1	0	1		
May_2017_DBunk_557	2	138	16	41	AO	DBunk	2017	19	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_198	2	138	16	41	AO	DBunk	2017	7	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_222	2	158	16	42	AP	DBunk	2017	6	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_73	2	158	16	42	AP	DBunk	2017	14	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_73SM					AP	DBunk	2017		1	0	female	pulex	0	0	0		
Spring_2017_DBunk_363	2	166	16	43	AQ	DBunk	2017	11	0	0	female	pulex	0	0	0		
Spring_2017_DBunk_99	2	166	16	43	AQ	DBunk	2017	9	0	0	female	pulex	0	0	0		
March20_2018_DBunk_18005	2	112	17	120	AR	DBunk	2018	18	0	0	female	pulex	0	0	1		
AxB_R1_136_A					AxCF1			6	0	0	female	pulex	1	1	1		
AxB_R1_P50_A					AxCF1			7	0	0	female	pulex	1	1	1		
AxB_R1_P56_A					AxCF1			9	0	0	female	pulex	1	1	1		
AxB_R1_P87_B					AxCF1			13	0	0	female	pulex	1	1	1		
AxB_R2_P102_A					AxCF1			15	0	0	female	pulex	1	1	1		
AxB_R2_P103_B					AxCF1			7	0	0	female	pulex	1	1	1		
AxB_R2_P107_A					AxCF1			9	0	0	female	pulex	1	1	1		
AxB_R2_P121_A					AxCF1			3	0	0	female	pulex	1	1	1		
AxB_R2_P176_A					AxCF1			9	0	0	female	pulex	1	1	1		
AxB_R2_P203_A					AxCF1			9	0	0	female	pulex	1	1	1		
AxB_R2_P52_B					AxCF1			9	0	0	female	pulex	1	1	1		
AxB_R3_431_A					AxCF1			12	0	0	female	pulex	1	1	1		
AxB_R4_P119_A					AxCF1			7	0	0	female	pulex	1	1	1		
AxB_R4_P17_A					AxCF1			4	0	0	female	pulex	1	1	1		
AxB_R4_P17_B					AxCF1			5	0	0	female	pulex	1	1	1		
AxB_R4_P51_A					AxCF1			9	0	0	female	pulex	1	1	1		
AxB_R4_P55_A					AxCF1			15	0	0	female	pulex	1	1	1		
April_2017_DCat_2	41	16	2	2	B	DCat	2017	17	0	0	female	pulex	0	0	0		
April_2017_DCat_3	41	16	2	2	B	DCat	2017	15	0	0	female	pulex	0	0	0		
March20_2018_DCat_18006	41	16	2	2	B	DCat	2018	11	0	0	female	pulex	0	0	1		
