clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	AxCF1Hybrid	LabGenerated	OneLiterPheno	LowReadDepth	PnPsAnalysis
March15_2019_DBunk_MomPE8	1	103	17	114	OO	DBunk	2019	11	0	1	female	pulex	0	0	0		
April17_2018_D8_Male5	6	6	13	17	Q	D8	2018	3	0	1	male	pulex	1	0	0	1	
April29_2018_DBunk_MomPE5	6	6	13	17	Q	DBunk	2018	9	0	1	female	pulex	1	0	0		
March20_2018_D8_2	6	6	13	17	Q	D8	2018	18	0	1	female	pulex	1	0	0		
March20_2018_D8_28	6	6	13	17	Q	D8	2018	7	0	1	female	pulex	1	0	0		
March20_2018_D8_4	6	6	13	17	Q	D8	2018	27	0	1	female	pulex	1	0	0		
March20_2018_D8_14	9	106	13	19	S	D8	2018	17	0	1	female	pulex	1	0	0		
March20_2018_D8_29	9	106	13	19	S	D8	2018	6	0	1	female	pulex	1	0	0		
March20_2018_D8_35	9	106	13	19	S	D8	2018	7	0	1	female	pulex	1	0	0		
March20_2018_D8_7	9	106	13	19	S	D8	2018	17	0	1	female	pulex	1	0	0		
March20_2018_D8_9	9	106	13	19	S	D8	2018	19	0	1	female	pulex	1	0	0		
April17_2018_D8_Male2	5	3	14	20	T	D8	2018	11	0	1	male	pulex	1	0	0		
March20_2018_D8_12	5	3	14	20	T	D8	2018	19	0	1	female	pulex	1	0	0		
March20_2018_D8_22	5	3	14	20	T	D8	2018	14	0	1	female	pulex	1	0	0		
March20_2018_D8_31	5	3	14	20	T	D8	2018	10	0	1	female	pulex	1	0	0		
April29_2018_D8_MomPE3	5	8	14	21	U	D8	2018	9	0	1	female	pulex	1	0	0		
April29_2018_D8_MomPE5	5	8	14	21	U	D8	2018	8	0	1	female	pulex	1	0	0		
April29_2018_DBunk_Male3	5	8	14	21	U	DBunk	2018	8	0	1	male	pulex	1	0	0		
March20_2018_D8_17	5	8	14	21	U	D8	2018	14	0	1	female	pulex	1	0	0		
April17_2018_D8_Male3	3	4	15	24	X	D8	2018	8	0	1	male	pulex	1	0	0		
March20_2018_D8_30	3	4	15	24	X	D8	2018	17	0	1	female	pulex	1	0	0		
March20_2018_D8_36	3	4	15	24	X	D8	2018	10	0	1	female	pulex	1	0	0		
March15_2019_DBunk_MomPE13	3	95	15	26	Z	DBunk	2019	11	0	1	female	pulex	0	0	0		
March15_2019_DBunk_MomPE17	3	95	15	26	Z	DBunk	2019	13	0	1	female	pulex	0	0	0		
March15_2019_DBunk_MomPE9	3	95	15	26	Z	DBunk	2019	17	0	1	female	pulex	0	0	0		
